https://github.com/jitutechie/micro_app8.git,micro_app8,dev,Microservice
https://github.com/jitutechie/spark_app8.git,spark_app8,dev,Microservice
https://github.com/ManasaMurthy/Microservice,microservice,master,spark
https://github.com/jitutechie/micro_app9.git,micro_app9,dev,Microservice
https://github.com/jitutechie/spark_app9.git,spark_app9,dev,Microservice
https://github.com/jitutechie/micro_app10.git,micro_app10,dev,Microservice
https://github.com/jitutechie/spark_app10.git,spark_app10,dev,Microservice
https://github.com/jitutechie/Testyy.git,Testyy,dev,Spark
https://github.com/jitutechie/micro_app11.git,micro_app11,dev,Microservice
https://github.com/jitutechie/spark_app11.git,spark_app11,dev,Microservice
https://github.com/jitutechie/micro_app12.git,micro_app12,dev,Microservice
https://github.com/jitutechie/spark_app12.git,spark_app12,dev,Microservice
https://github.com/jitutechie/micro_app13.git,micro_app13,dev,microservice
https://github.com/jitutechie/spark_app13.git,spark_app13,dev,spark
